"clientName","clientAppId","status","isMicrosoft","isThirdParty","isHomeTenant","isHidden","publisher","publisherDomain","publisherDomainMatchesMicrosoft","publisherDomainMatchesTenant","verifiedPublisherName","verifiedPublisherId","appOwnerOrgId","msOwnerOrgMatch","msPublisherMatch","verifiedPublisherMatchesMicrosoft","msHasIntegratedTag","msHasGalleryTag","msKnownAppId","servicePrincipalType","servicePrincipalNames","servicePrincipalNameMatchesMicrosoft","servicePrincipalNameMatchesTenant","servicePrincipalTags","notes","ssoState","staleApp","tags","adminScopes","userScopes","userCount"
"ForPe-SendMailwithGraph","bd3ca642-67ce-4671-8382-c71b83a923a1","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","bd3ca642-67ce-4671-8382-c71b83a923a1","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Home Tenant;Hidden;staleApps;No OAuth grants","","","0"
"Azure Monitor Control Service","e933bd07-d2ee-4f1d-933c-3752b819567b","pass","True","False","False","False","Microsoft Services","monitor.azure.com","True","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://monitor.azure.com/;e933bd07-d2ee-4f1d-933c-3752b819567b","True","False","",,"OpenID Connect","False","Microsoft;No OAuth grants","","","0"
"MMD Intune Partner Sync","95813a7c-0efb-4173-a866-c2079e02378a","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","95813a7c-0efb-4173-a866-c2079e02378a","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Organizational Data in Microsoft 365","8cfd58c1-5cd4-475d-b77f-8f41cfbf6831","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","8cfd58c1-5cd4-475d-b77f-8f41cfbf6831","False","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"SharePoint Online Client Extensibility","c58637bb-e2e1-4312-8a00-04b5ffcd3403","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","c58637bb-e2e1-4312-8a00-04b5ffcd3403","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"ZTNA Data Acquisition - PROD","7dd7250c-c317-4bc6-8528-8d27b02707ef","pass","True","False","False","False","Microsoft Services",,"False","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","7dd7250c-c317-4bc6-8528-8d27b02707ef","False","False","disableLegacyUserImpersonationResource;disableLegacyUserImpersonationClient",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Azure OSSRDBMS MySQL Flexible Server BYOK","cb43afba-eb6b-4cef-bf00-758b6c233beb","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","cb43afba-eb6b-4cef-bf00-758b6c233beb","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Case Enrichment Onboarding Agent (Microsoft Copilot Studio)","2f18933c-2cc6-4cbc-b05d-53f401e617d3","pass","False","False","False","False",,,"False","False",,,,"False","False","False","False","False",,"ServiceIdentity","2f18933c-2cc6-4cbc-b05d-53f401e617d3","False","False","",,"Disabled","False","No OAuth grants","","","0"
"Billing","80dbdb39-4f33-4799-8b6f-711b5e3e61b6","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","80dbdb39-4f33-4799-8b6f-711b5e3e61b6","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Azure Media Service","803ee9ca-3f7f-4824-bd6e-0b99d720c35c","pass","True","False","False","False",,"*.cloudvideo.azure.net","True","False",,,,"False","False","False","False","False",,"Legacy","803ee9ca-3f7f-4824-bd6e-0b99d720c35c/*.cloudvideo.azure.net;803ee9ca-3f7f-4824-bd6e-0b99d720c35c","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
